DecisionId,DecisionLevel,RecommendedSequence,DecisionArea,SystemOrRelationship,FilesOrScope,PlainEnglishQuestion,PlainEnglishContext,WhatApprovalAllows,WhatStaysBlockedIfNotApproved,RecommendedDefault,AnswerOptions,ExecutiveDecision,ExecutiveDecisionDetails,RiskIfApproved,RiskIfDeferred,AutomationSuitability,SuggestedGoalShape,CanRunAsOneGoal,RequiredApprovalSpecifics,VerificationNeeded,SourceAuditEvidence,GateRowIds,SourceRowCount,NotesForCoder
GATE-0051,GateRow,151,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Crafting Core; Labels=DependsOn;StaffDependency; Evidence=Crafting Core->Static Gump Tool:DirectReference:Data/Scripts/Trades/Core/CraftItem.cs:L3100:STool;Crafting Core:docs/wiki/Apiculture_Beekeeping.md;Crafting Core:docs/wiki/Crafting_Core.md;Crafting Core:docs/wiki/Standard_Crafting.md:L234;Crafting Core:docs/wiki/Standard_Crafting.md:L235;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/w... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0051,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0052,GateRow,152,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Harvest System; Labels=DependsOn;StaffDependency; Evidence=Harvest System->Static Gump Tool:DirectReference:Data/Scripts/Items/Trades/Harvest Tools/ProspectorsTool.cs:L8:STool;Harvest System->Static Gump Tool:DirectReference:Data/Scripts/Trades/Harvest/Fishing.cs:L768:STool;Harvest System:docs/wiki/Apiculture_Beekeeping.md:L307;Harvest System:docs/wiki/Farmable_Crops_System.md;Harvest System:docs/wiki/Gardening_System.md;Harvest System:docs/wiki/Standard_Crafting.... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0052,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0053,GateRow,153,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Bulk Orders; Labels=DependsOn;StaffDependency; Evidence=Bulk Orders->Static Gump Tool:DirectReference:Data/Scripts/System/Commands/Docs.cs:L1703:STool;Bulk Orders->Static Gump Tool:DirectReference:Data/Scripts/Trades/Bulk Orders/Rewards.cs:L245:STool;Bulk Orders:docs/wiki/Animal_Shape_Stones.md;Bulk Orders:docs/wiki/Bulk_Order_System.md;Bulk Orders:docs/wiki/SystemAudit.md:L29;Bulk Orders:docs/wiki/SystemAudit.md:L41;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0053,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0054,GateRow,154,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Gardening; Labels=DependsOn;StaffDependency; Evidence=Gardening->Static Gump Tool:DirectReference:Data/Scripts/Mobiles/Plants/Fungal.cs:L46:STool;Gardening->Static Gump Tool:DirectReference:Data/Scripts/Mobiles/Plants/FungalMage.cs:L46:STool;Gardening->Static Gump Tool:DirectReference:Data/Scripts/System/Obsolete/PlantHerbalism.cs:L179:STool;Gardening:docs/wiki/Gardening_System.md;Gardening:docs/wiki/Misc_Core_Systems.md;Gardening:docs/wiki/SystemAudit.md:L40;Stat... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0054,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0055,GateRow,155,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Housing; Labels=DependsOn;StaffDependency; Evidence=Housing->Static Gump Tool:DirectReference:Data/Scripts/Mobiles/Base/StoreSalesList.cs:L15121:STool;Housing:docs/wiki/Flip_Deed.md;Housing:docs/wiki/Housing_System.md;Housing:docs/wiki/offline-skill-training.md:L38;Housing:docs/wiki/SystemAudit.md:L71;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23 || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0055,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0056,GateRow,156,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Regions; Labels=DependsOn;StaffDependency; Evidence=Regions:docs/wiki/AI_OVERHAUL_AUDIT.md;Regions:docs/wiki/Housing_System.md;Regions:docs/wiki/offline-skill-training.md:L38;Regions:docs/wiki/SystemAudit.md:L24;Static Gump Tool->Regions:DirectReference:Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddAnimation.cs:L35:Region;Static Gump Tool->Regions:DirectReference:Data/Scripts/Custom/OzThothStaticGump/Side Gumps/AddArch.cs:L35:Region;Static Gump Tool->Regions... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0056,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0057,GateRow,157,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Vendor Core; Labels=DependsOn;StaffDependency; Evidence=Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23;Vendor Core->Static Gump Tool:DirectReference:Data/Scripts/Mobiles/Base/StoreSalesList.cs:L15121:STool;Vendor Core:docs/CCWM/Confictura_Codex_World_Map.md:L9444;Vendor Core:docs/wiki/AI_OVERHAUL_AUDIT.md;Vendor Core:docs/wiki/Animal_Trainer_Stable_Claim.md;Vendor Core:doc... || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0057,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0058,GateRow,158,Staff tooling,Static Gump Tool,Relationship-level row; no single source file is approved for policy edits from this row.,Do you approve changing the staff/admin workflow for Static Gump Tool?,"This affects tools used by staff or admins, not ordinary player-facing cleanup. These rows were fenced because changing them can alter how events are run, how generated tools behave, or how staff perform operational work.","A focused source batch may change the named staff workflow, generated tool/gump behavior, or event workflow for this system.",Staff workflow changes for this system remain blocked; non-staff bug fixes outside this surface may still proceed.,Preserve current staff workflow until you intentionally approve a new operating policy.,Approve specific workflow change | Preserve current workflow | Need demo/design notes first | Reject change,,,"Staff tools may behave differently during live operations; bad changes can confuse staff, expose actions to the wrong users, or disrupt events.","Workflow pain points or cleanup stay in place, but operational behavior remains predictable.",Automatable after approval if the row names exact behavior and files; review one staff tool/system per goal.,GATED-SOURCE-BATCH-STAFF for this system only.,"No, unless multiple approved rows are same system and same workflow policy.","Name the staff tool or workflow, who may use it, what should change, and what must stay unchanged.",Command/access scan; gump/hook scan where applicable; targeted source scan; Server.csproj Debug/x86 build; compile-only runtime verification; git diff --check.,docs/codebase-audit/outputs/post-batch-f-documentation-balance-review.csv | PriorOverlayEvidence: Systems=Static Gump Tool <-> Obsolete Scripts; Labels=DependsOn;StaffDependency; Evidence=Obsolete Scripts->Static Gump Tool:DirectReference:Data/Scripts/System/Obsolete/PlantHerbalism.cs:L179:STool;Obsolete Scripts:docs/wiki/AI_OVERHAUL_AUDIT.md;Obsolete Scripts:docs/wiki/Magery_Spell_Color_Setting.md;Obsolete Scripts:docs/wiki/SystemAudit.md:L103;Static Gump Tool:docs/wiki/Static_Gump_Tool.md;Static Gump Tool:docs/wiki/SystemAudit.md:L102;Static Gump Tool:docs/wiki/wikibacklog.md:L23 || PriorNotes: Relationship-level staff dependency needs explicit owner policy before runtime changes.,PBY-0058,1,GateOutcome=Preserve current staff workflow/access policy.; GateScope=AcceptedFence. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0059,GateRow,159,Folder and namespace cleanup,PvP Consent,Data/Scripts/Custom/PvPConsent,Do you approve reorganizing files or packages for PvP Consent?,"This is about physically moving code and possibly changing namespaces or type names. Moves can improve maintainability, but RunUO saves bind some objects to namespace/type names, so careless renames can break old saves.",A focused reorganization batch may move files or packages for this system within the approved constraints.,"Folder moves, namespace changes, type renames, project path rewrites, package containment moves, serialized type relocation, and docs move updates for this system remain blocked.","Approve file moves only when needed, avoid namespace/type renames, one system at a time, with rollback.",Approve file moves only | Approve namespace/type changes with migration plan | Defer reorganization | Request detailed move plan,,,"Can break runtime compile visibility, IDE project hygiene, docs source traces, or old save compatibility if not tightly verified.","Code remains less organized, but save and runtime identity risk stays low.",Automatable only after a specific move list and rollback policy; one system per goal.,GATED-SOURCE-BATCH-REORG for this system only.,No. Reorganization should be one system per goal.,"Name current paths, target paths, whether namespaces/types may change, save compatibility expectations, docs/project updates, and rollback plan.",Project truth; runtime compile visibility review; serialization register review; dependency graph check; docs source-trace update; Scripts.csproj update for IDE hygiene; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,"docs/codebase-audit/outputs/post-batch-h-pvp-consent-gate-review.csv | PriorOverlayEvidence: Backlog gate requires policy review across PvP Consent, Government, Regions, XMLPoints/XMLSpawner, and PlayerMobile before moving Data/Scripts/Custom/PvPConsent. Source/project evidence is stable for a possible future file-location-only move: source path exists with 5 runtime-visible C# files and 7 total files; target path Data/Scripts/Custom/PvP/PvPConsent does not exist; ScriptsProjectTruth has 5 project include rows, 5 source rows, 0 missing compile targets, and 0 unincluded sources; serialization-register.csv has five PvP Consent rows (Server.Mobiles.GoddessOfProtection:v0:SingleVersionOnly:AlignedByCountAndKnownTypes; Server.Items.NONPKEventConfirmationMoongate:v0:Switch:CountMatchNeedsTypeReview:UnknownWrites=1; Server.Items.NONPKEventMoongate:v1:IfVersionGates:CountMatchNeedsTypeReview:UnknownWrites=3; Server.Items.NONPKSword:v0:SingleVersionOnly:AlignedByCountAndKnownTypes; Server.Items.PKSword:v0:SingleVersionOnly:AlignedByCountAndKnownTypes); runtime-hook-map.csv has 13 PvP Consent rows (Command=1; Gump=6; Initialize=1; Movement=1; Speech=1; Timer=3). Gate evidence is not clear fo...",PBY-0059,1,GateOutcome=Move/reorganization remains blocked for this domain.; GateScope=BlocksOnlyThisDomain. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0060,GateRow,160,Folder and namespace cleanup,Invasion,Data/Scripts/Custom/Invasion System,Do you approve reorganizing files or packages for Invasion?,"This is about physically moving code and possibly changing namespaces or type names. Moves can improve maintainability, but RunUO saves bind some objects to namespace/type names, so careless renames can break old saves.",A focused reorganization batch may move files or packages for this system within the approved constraints.,"Folder moves, namespace changes, type renames, project path rewrites, package containment moves, serialized type relocation, and docs move updates for this system remain blocked.","Approve file moves only when needed, avoid namespace/type renames, one system at a time, with rollback.",Approve file moves only | Approve namespace/type changes with migration plan | Defer reorganization | Request detailed move plan,,,"Can break runtime compile visibility, IDE project hygiene, docs source traces, or old save compatibility if not tightly verified.","Code remains less organized, but save and runtime identity risk stays low.",Automatable only after a specific move list and rollback policy; one system per goal.,GATED-SOURCE-BATCH-REORG for this system only.,No. Reorganization should be one system per goal.,"Name current paths, target paths, whether namespaces/types may change, save compatibility expectations, docs/project updates, and rollback plan.",Project truth; runtime compile visibility review; serialization register review; dependency graph check; docs source-trace update; Scripts.csproj update for IDE hygiene; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,"docs/codebase-audit/outputs/post-batch-h-invasion-gate-review.csv | PriorOverlayEvidence: Backlog gate requires staff workflow docs and serializer review before moving Data/Scripts/Custom/Invasion System. Current source/project evidence is stable for a possible future file-location-only move: source path exists with 100 runtime-visible C# files and 102 total package files; target path Data/Scripts/Custom/Events/InvasionSystem does not exist; RuntimeScriptCompileTruth inventory has 100 old-path rows; ScriptsProjectTruth has 100 project include rows, 100 source rows, 0 missing compile targets, and 0 unincluded sources; runtime-hook-map.csv has 172 Invasion rows (Command=1; Gump=153; Initialize=1; Movement=3; Timer=14); serialization-register.csv has 76 Invasion rows (NoVersionFound, AlignedByCountAndKnownTypes, NamespaceOrTypeRenameDanger=1; SingleVersionOnly, AlignedByCountAndKnownTypes, NamespaceOrTypeRenameDanger=72; SingleVersionOnly, AlignedByCountAndKnownTypes, UnknownUntilSaveTest=1; Switch, CountMatchNeedsTypeReview:UnknownWrites=1, NamespaceOrTypeRenameDanger=1; Switch, CountMatchNeedsTypeReview:UnknownWrites=7, NamespaceOrTypeRenameDanger=1). Gate evidence is not clear for ...",PBY-0060,1,GateOutcome=Move/reorganization remains blocked for this domain.; GateScope=BlocksOnlyThisDomain. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0061,GateRow,161,Folder and namespace cleanup,XMLSpawner,Data/Scripts/Custom/XMLSpawner,Do you approve reorganizing files or packages for XMLSpawner?,"This is about physically moving code and possibly changing namespaces or type names. Moves can improve maintainability, but RunUO saves bind some objects to namespace/type names, so careless renames can break old saves.",A focused reorganization batch may move files or packages for this system within the approved constraints.,"Folder moves, namespace changes, type renames, project path rewrites, package containment moves, serialized type relocation, and docs move updates for this system remain blocked.","Approve file moves only when needed, avoid namespace/type renames, one system at a time, with rollback.",Approve file moves only | Approve namespace/type changes with migration plan | Defer reorganization | Request detailed move plan,,,"Can break runtime compile visibility, IDE project hygiene, docs source traces, or old save compatibility if not tightly verified.","Code remains less organized, but save and runtime identity risk stays low.",Automatable only after a specific move list and rollback policy; one system per goal.,GATED-SOURCE-BATCH-REORG for this system only.,No. Reorganization should be one system per goal.,"Name current paths, target paths, whether namespaces/types may change, save compatibility expectations, docs/project updates, and rollback plan.",Project truth; runtime compile visibility review; serialization register review; dependency graph check; docs source-trace update; Scripts.csproj update for IDE hygiene; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,"docs/codebase-audit/outputs/post-batch-h-xmlspawner-gate-review.csv | PriorOverlayEvidence: Backlog gate explicitly requires approval before moving Data/Scripts/Custom/XMLSpawner because packet, attachment, world save/load, and project truth risks are high. Current source/project evidence is stable for review only: source path exists with 133 runtime-visible C# files and 249 total package files; target path Data/Scripts/Custom/ThirdParty/XMLSpawner does not exist; RuntimeScriptCompileTruth inventory has 133 old-path rows; ScriptsProjectTruth has 133 project include rows, 133 source rows, 0 missing compile targets, and 0 unincluded sources; Scripts.csproj also has 92 Content rows and 19 None rows under Custom\XMLSpawner; runtime-hook-map.csv has 589 XMLSpawner rows (Command=75; Event=6; Gump=368; Initialize=23; Movement=27; Packet=3; Region=4; Speech=20; Timer=61; WorldLoad=1; WorldSave=1); serialization-register.csv has 100 XMLSpawner rows, with 100 NeedsSourceReview rows, 100 UnknownUntilSaveTest rows, and 3 NoVersionFound rows (NoVersionFound, AlignedByCountAndKnownTypes, UnknownUntilSaveTest=2; NoVersionFound, CountMismatch:Writes=20;Reads=0, UnknownUntilSaveTest=1; SingleVersio...",PBY-0061,1,GateOutcome=Move/reorganization remains blocked for this domain.; GateScope=BlocksOnlyThisDomain. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0062,GateRow,162,Folder and namespace cleanup,Government,Data/Scripts/Custom/Government System,Do you approve reorganizing files or packages for Government?,"This is about physically moving code and possibly changing namespaces or type names. Moves can improve maintainability, but RunUO saves bind some objects to namespace/type names, so careless renames can break old saves.",A focused reorganization batch may move files or packages for this system within the approved constraints.,"Folder moves, namespace changes, type renames, project path rewrites, package containment moves, serialized type relocation, and docs move updates for this system remain blocked.","Approve file moves only when needed, avoid namespace/type renames, one system at a time, with rollback.",Approve file moves only | Approve namespace/type changes with migration plan | Defer reorganization | Request detailed move plan,,,"Can break runtime compile visibility, IDE project hygiene, docs source traces, or old save compatibility if not tightly verified.","Code remains less organized, but save and runtime identity risk stays low.",Automatable only after a specific move list and rollback policy; one system per goal.,GATED-SOURCE-BATCH-REORG for this system only.,No. Reorganization should be one system per goal.,"Name current paths, target paths, whether namespaces/types may change, save compatibility expectations, docs/project updates, and rollback plan.",Project truth; runtime compile visibility review; serialization register review; dependency graph check; docs source-trace update; Scripts.csproj update for IDE hygiene; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,"docs/codebase-audit/outputs/post-batch-h-government-gate-review.csv | PriorOverlayEvidence: Backlog gate explicitly requires approval before moving Data/Scripts/Custom/Government System because serialized file volume plus gump/hook volume are high. Current source/project evidence is stable for review only: source path exists with 207 runtime-visible C# files and 208 total package files; target path Data/Scripts/Custom/Government/GovernmentSystem does not exist; RuntimeScriptCompileTruth inventory has 207 old-path rows; ScriptsProjectTruth has 207 project include rows, 207 source rows, 0 missing compile targets, and 0 unincluded sources; runtime-hook-map.csv has 227 Government rows (Command=8; Gump=190; Initialize=9; Region=5; Speech=10; Timer=4; WorldSave=1); serialization-register.csv has 144 Government rows, with 144 NeedsSourceReview rows, 144 UnknownUntilSaveTest rows, and 1 NoVersionFound row (NoVersionFound, AlignedByCountAndKnownTypes, UnknownUntilSaveTest=1; SingleVersionOnly, AlignedByCountAndKnownTypes, UnknownUntilSaveTest=130; SingleVersionOnly, CountMatchNeedsTypeReview:UnknownWrites=1, UnknownUntilSaveTest=1; SingleVersionOnly, CountMatchNeedsTypeReview:UnknownWrites=...",PBY-0062,1,GateOutcome=Move/reorganization remains blocked for this domain.; GateScope=BlocksOnlyThisDomain. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
GATE-0063,GateRow,163,Folder and namespace cleanup,Offline Skill Training,Data/Scripts/Custom/Offline Skill Training,Do you approve reorganizing files or packages for Offline Skill Training?,"This is about physically moving code and possibly changing namespaces or type names. Moves can improve maintainability, but RunUO saves bind some objects to namespace/type names, so careless renames can break old saves.",A focused reorganization batch may move files or packages for this system within the approved constraints.,"Folder moves, namespace changes, type renames, project path rewrites, package containment moves, serialized type relocation, and docs move updates for this system remain blocked.","Approve file moves only when needed, avoid namespace/type renames, one system at a time, with rollback.",Approve file moves only | Approve namespace/type changes with migration plan | Defer reorganization | Request detailed move plan,,,"Can break runtime compile visibility, IDE project hygiene, docs source traces, or old save compatibility if not tightly verified.","Code remains less organized, but save and runtime identity risk stays low.",Automatable only after a specific move list and rollback policy; one system per goal.,GATED-SOURCE-BATCH-REORG for this system only.,No. Reorganization should be one system per goal.,"Name current paths, target paths, whether namespaces/types may change, save compatibility expectations, docs/project updates, and rollback plan.",Project truth; runtime compile visibility review; serialization register review; dependency graph check; docs source-trace update; Scripts.csproj update for IDE hygiene; Server.csproj Debug/x86 build; compile-only runtime verification; rollback check; git diff --check.,"docs/codebase-audit/outputs/post-batch-h-offline-skill-training-gate-review.csv | PriorOverlayEvidence: Backlog gate requires serializer review and project truth repair before moving Data/Scripts/Custom/Offline Skill Training. Project truth is repaired, but the serializer gate is not cleared: source path exists with 7 runtime-visible C# files and 8 total package files; target path Data/Scripts/Custom/Progression/OfflineSkillTraining does not exist; RuntimeScriptCompileTruth inventory has 7 old-path rows; ScriptsProjectTruth has 7 project include rows, 7 source rows, 0 missing compile targets, and 0 unincluded sources; Scripts.csproj has 7 Compile rows, 1 Content row, and 0 None rows under the current package path; runtime-hook-map.csv has 8 Offline Skill Training rows (Event=4; Initialize=1; Login=1; Logout=1; Timer=1); serialization-register.csv has 170 Offline Skill Training rows, with 166 NeedsSourceReview rows, 166 UnknownUntilSaveTest rows, and 4 NamespaceOrTypeRenameDanger rows (SingleVersionOnly, AlignedByCountAndKnownTypes, NamespaceOrTypeRenameDanger=4; SingleVersionOnly, AlignedByCountAndKnownTypes, UnknownUntilSaveTest=166). Gate evidence is not clear for execution becau...",PBY-0063,1,GateOutcome=Move/reorganization remains blocked for this domain.; GateScope=BlocksOnlyThisDomain. Preserve current behavior unless ExecutiveDecision explicitly approves crossing this fence.
